NumOfPthreads      Runtime(s)
1     .175451612903225806451612903225
2     .115290322580645161290322580645
4     .094129032258064516129032258064
32     .091483870967741935483870967741
64     .093774193548387096774193548387
128     .090580645161290322580645161290
512     .013322580645161290322580645161
